,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
224,473,40.72110063,-73.99192540000001,40.76087502,-74.00277668,1,Manhattan,21.0,11.0,7.0,43.0
225,471,40.71286844,-73.95698119,40.710451,-73.960876,2,Brooklyn,13.0,3.0,7.0,30.0
226,362,40.75172632,-73.98753523,40.76370739,-73.9851615,1,Manhattan,12.0,4.0,7.0,1.0
227,423,40.76584941,-73.98690506,40.74290902,-73.97706058,2,Manhattan,15.0,8.0,7.0,20.0
228,438,40.72779126,-73.98564945,40.73935542,-73.99931783,1,Manhattan,24.0,8.0,7.0,39.0
229,116,40.74177603,-74.00149746,40.74238787,-73.99726235,1,Manhattan,18.0,1.0,7.0,10.0
230,404,40.7405826,-74.00550867,40.76227205,-73.98788205,1,Manhattan,15.0,5.0,7.0,5.0
231,368,40.73038599,-74.00214988,40.72938685,-73.97772429,1,Manhattan,20.0,7.0,7.0,12.0
232,375,40.72679454,-73.99695094,40.73221853,-73.98165557,1,Manhattan,13.0,4.0,7.0,9.0
233,380,40.73401143,-74.00293877,40.73049393,-73.99572140000002,1,Manhattan,12.0,2.0,7.0,14.0
234,401,40.72019576,-73.98997825,40.7546011026,-73.971878855,1,Manhattan,14.0,9.0,7.0,3.0
235,420,40.68764484,-73.96968902,40.70827295,-73.96834101,2,Brooklyn,18.0,6.0,7.0,1.0
236,450,40.76227205,-73.98788205,40.7546011026,-73.971878855,1,Manhattan,12.0,6.0,7.0,14.0
237,457,40.76695317,-73.98169333,40.7568001,-73.98291153,2,Manhattan,11.0,5.0,7.0,23.0
238,380,40.73401143,-74.00293877,40.70823502,-74.00530063,1,Manhattan,12.0,6.0,7.0,23.0
239,521,40.75044999,-73.99481051,40.74206539,-74.00443172,1,Manhattan,16.0,3.0,7.0,29.0
240,463,40.74206539,-74.00443172,40.75044999,-73.99481051,1,Manhattan,21.0,4.0,7.0,6.0
241,540,40.74147286,-73.98320928,40.7546011026,-73.971878855,1,Manhattan,14.0,3.0,7.0,5.0
242,2023,40.75968085,-73.97031366,40.74571210000001,-73.98194829,1,Manhattan,20.0,5.0,7.0,27.0
243,252,40.73226398,-73.99852205,40.72165481,-74.00234737,1,Manhattan,19.0,5.0,7.0,25.0
244,488,40.75645824,-73.99372222,40.73261787,-73.99158043,1,Manhattan,19.0,8.0,7.0,22.0
245,252,40.73226398,-73.99852205,40.72165481,-74.00234737,2,Manhattan,15.0,5.0,7.0,25.0
246,404,40.7405826,-74.00550867,40.73261787,-73.99158043,1,Manhattan,29.0,3.0,7.0,15.0
247,492,40.75019995,-73.99093085,40.71893904,-73.99266288,1,Manhattan,12.0,7.0,7.0,23.0
248,479,40.76019252,-73.9912551,40.76009437,-73.99461843,1,Manhattan,14.0,1.0,7.0,34.0
249,294,40.73049393,-73.99572140000002,40.72165481,-74.00234737,1,Manhattan,12.0,3.0,7.0,27.0
